Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,NY,10117,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10118,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10119,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10120,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10121,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10122,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10123,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10125,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10126,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10128,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10129,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10132,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10133,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10138,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10150,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10151,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10152,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10153,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10154,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10155,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10156,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10157,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10158,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10159,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10160,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10162,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10163,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10165,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10166,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10167,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10168,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10169,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10170,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10171,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10172,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10173,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10174,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10175,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10176,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10177,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10178,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10179,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10185,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10199,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10203,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10211,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10212,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10213,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10258,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10268,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10271,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10272,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10273,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10274,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10276,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10278,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10279,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10280,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10281,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10282,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10285,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10301,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10302,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10303,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10304,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10305,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10306,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10307,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10308,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10309,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10310,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10311,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10312,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10313,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10314,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10451,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10452,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10453,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10454,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10455,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10456,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10457,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10458,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10459,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10460,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10461,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10462,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10463,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10464,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10465,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10466,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10467,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10468,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10469,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10470,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10471,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10472,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10473,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10474,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10475,NEW YORK CITY,8.8750,NY Tax,1,0,1,
US,NY,10501,SOMERS,8.3750,NY Tax,1,0,1,
US,NY,10502,ARDSLEY VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10503,IRVINGTON VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10504,NORTH CASTLE,8.3750,NY Tax,1,0,1,
US,NY,10505,SOMERS,8.3750,NY Tax,1,0,1,
US,NY,10506,BEDFORD,8.3750,NY Tax,1,0,1,
US,NY,10507,BEDFORD,8.3750,NY Tax,1,0,1,
US,NY,10509,SOUTHEAST,8.3750,NY Tax,1,0,1,
US,NY,10510,BRIARCLIFF MANOR VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10511,BUCHANAN VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10512,KENT,8.3750,NY Tax,1,0,1,
US,NY,10514,NEW CASTLE,8.3750,NY Tax,1,0,1,
US,NY,10516,PHILIPSTOWN,8.3750,NY Tax,1,0,1,
US,NY,10517,CORTLANDT,8.3750,NY Tax,1,0,1,
US,NY,10518,LEWISBORO,8.3750,NY Tax,1,0,1,
US,NY,10519,NORTH SALEM,8.3750,NY Tax,1,0,1,
US,NY,10520,CROTON ON HUDSON VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10522,DOBBS FERRY VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10523,ELMSFORD VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10524,PHILIPSTOWN,8.3750,NY Tax,1,0,1,
US,NY,10526,LEWISBORO,8.3750,NY Tax,1,0,1,
US,NY,10527,SOMERS,8.3750,NY Tax,1,0,1,
US,NY,10528,HARRISON,8.3750,NY Tax,1,0,1,
US,NY,10530,GREENBURGH,8.3750,NY Tax,1,0,1,
US,NY,10532,MOUNT PLEASANT,8.3750,NY Tax,1,0,1,
US,NY,10533,IRVINGTON VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10535,YORKTOWN,8.3750,NY Tax,1,0,1,
US,NY,10536,BEDFORD,8.3750,NY Tax,1,0,1,
US,NY,10537,PUTNAM VALLEY,8.3750,NY Tax,1,0,1,
US,NY,10538,LARCHMONT VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10540,SOMERS,8.3750,NY Tax,1,0,1,
US,NY,10541,CARMEL,8.3750,NY Tax,1,0,1,
US,NY,10542,CARMEL,8.3750,NY Tax,1,0,1,
US,NY,10543,MAMARONECK VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10545,OSSINING,8.3750,NY Tax,1,0,1,
US,NY,10546,NEW CASTLE,8.3750,NY Tax,1,0,1,
US,NY,10547,YORKTOWN,8.3750,NY Tax,1,0,1,
US,NY,10548,CORTLANDT,8.3750,NY Tax,1,0,1,
US,NY,10549,MOUNT KISCO,8.3750,NY Tax,1,0,1,
US,NY,10550,MOUNT VERNON,8.3750,NY Tax,1,0,1,
US,NY,10551,MOUNT VERNON,8.3750,NY Tax,1,0,1,
US,NY,10552,MOUNT VERNON,8.3750,NY Tax,1,0,1,
US,NY,10553,MOUNT VERNON,8.3750,NY Tax,1,0,1,
US,NY,10560,NORTH SALEM,8.3750,NY Tax,1,0,1,
US,NY,10562,OSSINING,8.3750,NY Tax,1,0,1,
US,NY,10566,PEEKSKILL,8.3750,NY Tax,1,0,1,
US,NY,10567,CORTLANDT,8.3750,NY Tax,1,0,1,
US,NY,10570,PLEASANTVILLE,8.3750,NY Tax,1,0,1,
US,NY,10573,PORT CHESTER VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10576,POUND RIDGE,8.3750,NY Tax,1,0,1,
US,NY,10577,HARRISON,8.3750,NY Tax,1,0,1,
US,NY,10578,SOMERS,8.3750,NY Tax,1,0,1,
US,NY,10579,PUTNAM VALLEY,8.3750,NY Tax,1,0,1,
US,NY,10580,RYE CITY,8.3750,NY Tax,1,0,1,
US,NY,10583,SCARSDALE VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10587,SOMERS,8.3750,NY Tax,1,0,1,
US,NY,10588,YORKTOWN,8.3750,NY Tax,1,0,1,
US,NY,10589,SOMERS,8.3750,NY Tax,1,0,1,
US,NY,10590,LEWISBORO,8.3750,NY Tax,1,0,1,
US,NY,10591,TARRYTOWN VILLAGE,8.3750,NY Tax,1,0,1,
US,NY,10594,MOUNT PLEASANT,8.3750,NY Tax,1,0,1,
US,NY,10595,MOUNT PLEASANT,8.3750,NY Tax,1,0,1,
US,NY,10596,CORTLANDT,8.3750,NY Tax,1,0,1,
US,NY,10597,LEWISBORO,8.3750,NY Tax,1,0,1,
US,NY,10598,YORKTOWN,8.3750,NY Tax,1,0,1,
US,NY,10601,WHITE PLAINS,8.3750,NY Tax,1,0,1,
US,NY,10602,WHITE PLAINS,8.3750,NY Tax,1,0,1,
US,NY,10603,WHITE PLAINS,8.3750,NY Tax,1,0,1,
US,NY,10604,HARRISON,8.3750,NY Tax,1,0,1,
US,NY,10605,WHITE PLAINS,8.3750,NY Tax,1,0,1,
US,NY,10606,WHITE PLAINS,8.3750,NY Tax,1,0,1,
US,NY,10607,GREENBURGH,8.3750,NY Tax,1,0,1,
