Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,NY,10027,NEW YORK,8.8750,NY Tax,1,0,1,
US,NY,10471,BRONX,8.8750,NY Tax,1,0,1,
US,NY,11415,KEW GARDENS,8.8750,NY Tax,1,0,1,
US,NY,10038,NEW YORK,8.8750,NY Tax,1,0,1,
US,NY,11434,JAMAICA,8.8750,NY Tax,1,0,1,
US,NY,11201,BROOKLYN,8.8750,NY Tax,1,0,1,
US,NY,10306,STATEN ISLAND,8.8750,NY Tax,1,0,1,
US,NY,10970,WHITE PLAINS,8.3750,NY Tax,1,0,1,
US,NY,10016,NEW YORK,8.8750,NY Tax,1,0,1,
US,NY,11435,JAMAICA,8.8750,NY Tax,1,0,1,
US,NY,11101,LONG ISLAND CITY,8.8750,NY Tax,1,0,1,
US,NY,11743,HUNTINGTON,8.6250,NY Tax,1,0,1,
US,NY,10463,BRONX,8.8750,NY Tax,1,0,1,
US,NY,11205,BROOKLYN,8.8750,NY Tax,1,0,1,
US,NY,11436,SOUTH OZONE PARK,8.8750,NY Tax,1,0,1,
US,NY,10456,BRONX,8.8750,NY Tax,1,0,1,
US,NY,10456,BRO,8.8750,NY Tax,1,0,1,
US,NY,10456,BROOKLYN,8.8750,NY Tax,1,0,1,
US,NY,11206,BROOKLYN,8.8750,NY Tax,1,0,1,
US,NY,11967,SHIRLEY,8.6250,NY Tax,1,0,1,
US,NY,10968,PIERMONT,8.3750,NY Tax,1,0,1,
US,NY,11220,BROOKLYN,8.8750,NY Tax,1,0,1,
US,NY,11215,BROOKLYN,8.8750,NY Tax,1,0,1,
US,NY,10001,NEW YORK,8.8750,US-NY-NEW YORK-NEW YORK CITY Tax,1,0,1,
US,NY,10014,NEW YORK,8.8750,NY Tax,1,0,1,
US,NY,11211,BROOKLYN,8.8750,NY Tax,1,0,1,
US,NY,11385,GLENDALE,8.8750,NY Tax,1,0,1,
US,NY,11238,BROOKLYN,8.8750,NY Tax,1,0,1,
US,NY,10011,NEW YORK,8.8750,NY Tax,1,0,1,
US,NY,10006,NEW YORK,8.8750,NY Tax,1,0,1,
US,NY,10567,CORTLANDT MANOR,8.3750,NY Tax,1,0,1,
US,NY,11040,NEW HYDE PARK,8.6250,NY Tax,1,0,1,
US,NY,10011,NY,8.8750,NY Tax,1,0,1,
US,NY,10001,TP,8.8750,NY Tax,1,0,1,
US,NY,10001,LW,8.8750,NY Tax,1,0,1,
US,NY,10001,TORONTO,8.8750,NY Tax,1,0,1,
US,NY,10001,XCVXV,8.8750,US-NY-NEW YORK-NEW YORK CITY Tax,1,0,1,
US,NY,10002,TEST,8.8750,US-NY-NEW YORK-NEW YORK CITY Tax,1,0,1,
US,NY,12018,AVERILL PARK,8.0000,US-NY-RENSSELAER-UNINCORPORATED Tax,1,0,1,
US,NY,11709,BAYVILLE,8.6250,US-NY-NASSAU-BAYVILLE Tax,1,0,1,
NL,*,*,*,21.0000,BTW,1,0,0,
